f(CO2),,,,,,
1496,54,145,,,,
1496,56,148,,,,
2041,29,94,161,227,,
2041,29,95,161,227,,
2551,13,66,119,173,223,
2551,14,68,120,172,225,
3029,7,52,96,141,185,
3029,8,53,97,140,186,
3505,9,48,86,126,164,202
3505,10,48,88,125,164,203
