0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13:02:48,0,Hz,0,W,1000,mbar,1000,mbar,,,13:49:48,0,Hz,0,W,1000,mbar,1000,mbar
13:02:50,0,Hz,0,W,1000,mbar,1000,mbar,,,13:49:50,0,Hz,0,W,1000,mbar,1000,mbar
13:02:52,0,Hz,0,W,1000,mbar,1000,mbar,,,13:49:52,0,Hz,0,W,1000,mbar,1000,mbar
13:02:54,0,Hz,0,W,1000,mbar,1000,mbar,,,13:49:54,0,Hz,0,W,1000,mbar,1000,mbar
13:02:56,0,Hz,0,W,1000,mbar,1000,mbar,,,13:49:56,0,Hz,0,W,1000,mbar,1000,mbar
13:02:58,0,Hz,0,W,1000,mbar,1000,mbar,,,13:49:58,0,Hz,0,W,1000,mbar,1000,mbar
13:03:00,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:00,0,Hz,0,W,1000,mbar,1000,mbar
13:03:02,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:02,0,Hz,0,W,1000,mbar,1000,mbar
13:03:04,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:06,0,Hz,0,W,1000,mbar,1000,mbar
13:03:06,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:08,0,Hz,0,W,1000,mbar,1000,mbar
13:03:08,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:10,0,Hz,0,W,1000,mbar,1000,mbar
13:03:10,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:12,0,Hz,0,W,1000,mbar,1000,mbar
13:03:12,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:14,0,Hz,0,W,1000,mbar,1000,mbar
13:03:14,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:16,0,Hz,0,W,1000,mbar,1000,mbar
13:03:16,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:18,0,Hz,0,W,1000,mbar,580,mbar
