f(air),,,,,
2021,32,118,202,,
2021,28,116,197,,
2506,52,122,191,,
2506,55,125,193,,
3062,225,169,112,56,
3062,226,170,112,56,
3508,222,173,124,74,25
3508,222,173,124,75,25
3999,213,170,126,83,39
3599,213,170,126,83,39
