T,,,,,,
22.5,2378,2599,3034,3248,3463,
30,2411,2618,2851,3048,3277,
35,2460,2645,2856,3086,3313,
40,2224,2436,2674,2898,3102,3333
45,2465,2696,2907,3136,3368,
