,Rtk,18.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tk ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,пустой, R,мин,c,c,,,,,,,,,,18.08,0,0,0,18.08,,0.1,92,920,108,1080,135,1350,,18.08,0.001086956521739,0.000925925925926,0.000740740740741
,,18.08,0,0,0,18.08,,,,,,,,,18.18,92,108,135,18.18,,0.1,95,950,116,1160,139,1390,,18.18,0.001052631578947,0.000862068965517,0.000719424460432
,,18.18,1,32,92,18.18,,,,,,,,,18.28,187,224,274,18.28,,0.1,102,1020,124,1240,147,1470,,18.28,0.000980392156863,0.000806451612903,0.000680272108844
,,18.28,3,7,187,18.28,,,,,,,,,18.38,289,348,421,18.38,,0.1,109,1090,133,1330,155,1550,,18.38,0.000917431192661,0.000751879699248,0.000645161290323
,,18.38,4,49,289,18.38,,,,,,,,,18.48,398,481,576,18.48,,0.1,115,1150,138,1380,165,1650,,18.48,0.000869565217391,0.000724637681159,0.000606060606061
,,18.48,6,38,398,18.48,,,,,,,,,18.58,513,619,741,18.58,,0.1,125,1250,153,1530,172,1720,,18.58,0.0008,0.000653594771242,0.000581395348837
,,18.58,8,33,513,18.58,,,,,,,,,18.68,638,772,913,18.68,,0.1,128,1280,163,1630,181,1810,,18.68,0.00078125,0.000613496932515,0.000552486187845
,,18.68,10,38,638,18.68,,,,,,,,,18.78,766,935,1094,18.78,,0.1,138,1380,177,1770,191,1910,,18.78,0.000724637681159,0.000564971751412,0.000523560209424
,,18.78,12,46,766,18.78,,,,,,,,,18.88,904,1112,1285,18.88,,0.1,145,1450,182,1820,198,1980,,18.88,0.000689655172414,0.000549450549451,0.000505050505051
,,18.88,15,4,904,18.88,,,,,,,,,18.98,1049,1294,1483,18.98,,0.1,153,1530,194,1940,210,2100,,18.98,0.000653594771242,0.000515463917526,0.00047619047619
,,18.98,17,29,1049,18.98,,,,,,,,,19.08,1202,1488,1693,19.08,,0.1,160,1600,213,2130,216,2160,,19.08,0.000625,0.000469483568075,0.000462962962963
,,19.08,20,2,1202,19.08,,,,,,,,,19.18,1362,1701,1909,19.18,,0.1,176,1760,226,2260,226,2260,,19.18,0.000568181818182,0.000442477876106,0.000442477876106
,,19.18,22,42,1362,19.18,,,,,,,,,19.28,1538,1927,2135,19.28,,0.1,185,1850,230,2300,236,2360,,19.28,0.000540540540541,0.000434782608696,0.000423728813559
,,19.28,25,38,1538,19.28,,,,,,,,,19.38,1723,2157,2371,19.38,,0.1,191,1910,232,2320,248,2480,,19.38,0.000523560209424,0.000431034482759,0.000403225806452
,,19.38,28,43,1723,19.38,,,,,,,,,19.48,1914,2389,2619,19.48,,,,,,,,,,19.48,,,
,,19.48,31,54,1914,19.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, R,мин,c,c,,,,,,,,,,18.09,18.09,18.09,,,,,,,,,,,,,,,
,,18.08,0,0,0,18.08,,,,,,,,,0.00352081,0.01468362,0.01420081,,,,,,,,,,,,,,,
,,18.18,1,33,93,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.28,3,23,203,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.38,5,31,331,18.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.48,7,51,471,18.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.58,10,9,609,18.58,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.68,12,50,770,18.68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.78,15,31,931,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.88,18,32,1112,18.88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.98,21,34,1294,18.98,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.08,24,48,1488,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,
